,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_RNET,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_evi,wp_lswi2,wp_ndvi,mb_evi,mb_lswi2,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
0,7.33,0.808731148579,19.1791666667,195,0.0,22.3208333333,30.3156,4.95833333333,2012,20.7983424614,935.791629925,-65.7811091209,31.335633209,-97.1167423299,2.60558981876,13.6439022611,16.9021267606,4344.35076304,-90.8962564949,77.1785826936,-168.074839188,5.26803412264,32.3658393828,0.355407142857,0.286583841987,0.611742857143,0.278104,0.52376373214,0.652612,31.5678990281,17.2045295383,26.6961926361,18.4815626672
1,6.52,0.75594497241,19.325,196,0.0,21.7708333333,29.6316,3.79166666667,2012,20.573593318,1146.07370193,-72.5001388146,32.4601930221,-104.960331837,3.45929964696,13.4987605475,17.4441549296,4549.66323323,-87.4978721493,96.0072353784,-183.505107528,5.9663424533,27.6207532322,0.362842857143,0.317110188291,0.624457142857,0.281016,0.525663395493,0.651848,29.57,17.39,26.19,18.75
2,6.92,0.858993056517,20.2625,197,0.0,21.9083333333,29.3472,4.1375,2012,20.4759307147,1342.52033817,-67.6406085824,34.194315583,-101.834924165,2.11747378045,14.9878228686,17.2541408451,4801.42047128,-115.37298807,89.5884652795,-204.961453349,7.03156033773,29.8086264782,0.370278571429,0.347636534596,0.637171428571,0.283928,0.527563058845,0.651084,31.0979076713,17.2356235233,26.7458166708,18.4944250585
3,6.35,0.477617112749,16.7916666667,198,0.0,22.4208333333,28.818,6.03333333333,2012,20.5710450892,1539.94032088,-73.4184143985,33.169320576,-106.587734975,4.63614511454,11.3558511197,17.2035633803,2687.88431631,-116.723080423,40.0797706202,-156.802851043,6.88584937618,20.3303120574,0.377714285714,0.3781628809,0.649885714286,0.28684,0.529462722198,0.65032,30.8687181185,17.2485251915,26.7691703569,18.499212798
4,5.13,0.556820149199,17.0166666667,199,0.0,21.5291666667,23.1732,4.35,2012,16.7574014949,1527.28601176,-69.0706578382,31.1155516277,-100.186209466,3.44894626875,10.9431017214,15.9306338028,2326.33117992,-92.5129530282,48.3929609101,-140.905913938,6.31941657607,19.5058253796,0.38515,0.408689227204,0.6626,0.289752,0.531362385551,0.649556,30.6577923133,17.2596633103,26.7914362472,18.5029049001
5,6.17,0.685254709043,18.5833333333,200,0.0,21.5375,28.8252,3.85,2012,20.5616770665,1338.36156869,-79.9656105208,30.0838733899,-110.049483911,4.11980431977,13.3349890198,17.5593802817,3180.04981704,-97.1702396702,74.8757918264,-172.046031497,6.78177436283,24.4169213846,0.392585714286,0.439215573509,0.675314285714,0.292664,0.533262048903,0.648792,30.4651302559,17.2690378795,26.8126143416,18.5055013648
6,5.04,0.624625871317,18.3363636364,201,0.0,21.5227272727,21.8434909091,4.48636363636,2012,18.5079836665,1110.45349077,-69.3407447503,29.7134100241,-99.0541547744,2.64415131301,12.9861939576,15.9856478873,3675.30429046,-53.6569364339,85.3771262155,-139.034062649,4.2841518792,24.7070658217,0.400021428571,0.469741919813,0.688028571429,0.295576,0.535161712256,0.648028,30.2907319461,17.2766488993,26.8327046402,18.507002192
7,7.02,1.21897746508,22.95,202,0.0,21.1875,30.3192,3.1625,2012,18.6399576607,1118.8261219,-61.2545530174,28.2860339988,-89.5405870162,0.636445923366,15.0480196517,17.4435211268,3725.18900073,17.0378072503,109.800093571,-92.7622863202,-0.297642725702,23.153532145,0.407457142857,0.500268266117,0.700742857143,0.298488,0.537061375608,0.647264,30.134597384,17.2824963695,26.8517071429,18.5074073818
8,7.5,1.72910331646,26.3125,203,0.0,22.1666666667,30.3552,2.57916666667,2012,20.2800881511,993.452880358,-49.6367813375,26.7279740755,-76.364755413,-0.978050283143,17.4023766167,17.642028169,4533.21268852,44.6651357421,130.273206698,-85.6080709561,-3.81113386888,28.6832233612,0.414892857143,0.530794612422,0.713457142857,0.3014,0.538961038961,0.6465,29.9967265696,17.2865802903,26.8696218498,18.5067169342
9,8.08,1.67156094332,25.8333333333,204,0.0,22.6666666667,29.5776,3.60833333333,2012,20.2546274453,1251.76369877,-44.0871111439,30.0415975412,-74.1287086852,-1.55352746116,18.3669166564,17.6275774648,5136.15605315,2.96733164079,141.385092009,-138.417760368,-0.394250708347,34.9433148205,0.422328571429,0.561320958726,0.726171428571,0.300166666667,0.547878701687,0.64749047619,29.73,16.97,26.77,18.33
